runNumber() eventNumber() chargedFE.eta() chargedFE.phi() chargedFE.e() chargedFE.pt() charge() signalType()
410000 21649 -0.40452 -1.39925 1352.45 1242.2 1 8208 
410000 21649 1.31275 0.98959 2447.46 1226.2 -1 8208 
410000 21649 -1.28903 -0.249066 2383.48 1218.7 -1 8208 
410000 21649 0.355437 -3.02228 1294.93 1210.14 -1 8208 
410000 21649 0.0932802 -2.22081 1218.14 1204.88 1 8208 
410000 21649 -1.22869 -0.540227 2229.47 1199.69 1 8208 
410000 21649 0.526052 -2.52627 1370.59 1194.36 1 8208 
410000 21649 -2.12666 1.87941 4926.42 1157.87 1 8208 
410000 21649 0.529194 -2.64473 1330.29 1157.11 -1 8208 
410000 21649 -1.17281 -2.53071 2051.31 1156.06 1 8208 
410000 21649 -0.556305 -2.1138 1296.1 1112.01 1 8208 
410000 21649 -1.83633 0.804702 3519.95 1093.5 -1 8208 
410000 21649 -2.29722 1.66977 5434.37 1081.43 1 8208 
410000 21649 -2.3617 1.36904 4699.28 877.719 -1 8208 
410000 21649 -0.432955 -0.615515 1148.24 1040.66 -1 8208 
410000 21649 2.30928 1.4336 5231.76 1028.85 1 8208 
410000 21649 0.489256 2.28702 1156.6 1023.22 -1 8208 
410000 21649 0.161735 -1.77226 1000.64 978.038 1 8208 
410000 21649 -2.06149 3.09835 3899.59 976.11 1 8208 
410000 21649 1.58069 -2.53649 2433.04 959.306 1 8208 
410000 21649 1.99694 2.87772 3553.3 946.532 -1 8208 
410000 21649 -2.08309 2.20743 3861.25 946.484 1 8208 
410000 21649 -1.33077 -2.19973 1827.16 900.056 1 8208 
410000 21649 -1.99916 -2.02967 3377.41 897.683 -1 8208 
410000 21649 -1.73292 2.96491 2611.66 894.057 -1 8208 
410000 21649 -2.35005 1.30172 47675.1 9010.98 1 8208 
410000 21649 -2.3701 1.33414 8992.9 1666.39 1 8208 
410000 21649 0.997005 -2.43221 10192.4 6619.67 -1 8208 
410000 21649 -1.11341 -2.65987 4466.71 2647.08 1 8208 
410000 21649 -1.12907 -2.95355 3644.23 2131.99 -1 8208 
410000 21645 2.06794 1.4407 20518.4 5107.16 -1 8208 
410000 21645 -0.0477331 0.138953 2787.65 2780.98 -1 8208 
410000 21645 -1.65603 -1.13187 6698.14 2466.84 -1 8208 
410000 21645 0.138234 2.41743 2418.45 2391.54 -1 8208 
410000 21645 0.195369 2.19595 2093.06 2049.17 1 8208 
410000 21645 -0.117556 0.0320476 1945.11 1926.76 1 8208 
410000 21645 -1.66946 -2.60753 5008.53 1821.35 -1 8208 
410000 21645 1.22394 -1.23634 3271.87 1769.54 -1 8208 
410000 21645 1.49377 0.928297 4137.27 1767.67 -1 8208 
410000 21645 0.262064 0.284289 1833.65 1767.3 1 8208 
410000 21645 1.55751 -1.49829 4305.74 1736.1 -1 8208 
410000 21645 1.14614 2.33659 2983.5 1720.74 1 8208 
410000 21645 0.101571 2.54934 1643.39 1629.04 1 8208 
410000 21645 1.91572 2.24401 5642.04 1625.67 1 8208 
410000 21645 -0.0668728 -2.6704 1577.86 1568.17 1 8208 
410000 21645 2.01851 2.23996 5705.16 1489.16 1 8208 
410000 21645 -1.62398 2.48172 3906.61 1481.54 1 8208 
410000 21645 -0.221002 -1.04403 1400.28 1359.96 -1 8208 
410000 21645 -1.62717 0.478984 3564.51 1347.64 1 8208 
410000 21645 0.887398 -2.45114 1888.01 1325.7 -1 8208 
410000 21645 -1.53534 0.245597 3192.07 1312.82 -1 8208 
410000 21645 1.73346 1.85151 3815.12 1306.37 -1 8208 
410000 21645 -1.50949 2.89186 3043.96 1281.55 1 8208 
410000 21645 -0.0215371 -2.69832 1286.82 1278.93 1 8208 
410000 21645 2.29123 0.00519211 6377.7 1276.73 -1 8208 
410000 21645 1.28412 -2.1816 2457.21 1261.83 1 8208 
410000 21645 -0.972248 -0.26732 1896.4 1251.61 1 8208 
410000 21645 0.528332 -1.08263 1433.99 1248.8 -1 8208 
410000 21645 -1.27377 0.861908 2406.92 1246.92 -1 8208 
410000 21645 0.620747 2.4373 1470.54 1221.01 -1 8208 
410000 21645 -0.118286 1.65891 1227.97 1211.53 -1 8208 
410000 21645 0.348101 1.47079 1282.97 1201.8 1 8208 
410000 21645 0.920203 1.53959 1745.72 1196.69 -1 8208 
